People	Company	StartDate	EndDate	Position
456342	IBM	201603	201603	Information
107040260	Adobe	201603	201603	Design
43910785	Oracle	201706	201904	Information
146169659	Adobe	201712	201712	Market
85719762	AMD	201809	201904	Information
